id,description,hierarchy_levels,type,source
ESCO_0005c151-5b5a-4a66-8aac-60e734beb1ab,manage musical staff,"[['ESCO_S', 'ESCO_S4', 'ESCO_S4.5', 'ESCO_S4.5.0'], ['ESCO_S', 'ESCO_S4', 'ESCO_S4.8', 'ESCO_S4.8.1'], ['ESCO_T', 'ESCO_T4', 'ESCO_T4.4', None]]",preferredLabel,esco
ESCO_00064735-8fad-454b-90c7-ed858cc993f2,supervise correctional procedures,"[['ESCO_S', 'ESCO_S4', 'ESCO_S4.2', 'ESCO_S4.2.1']]",preferredLabel,esco
ESCO_000709ed-2be5-4193-b056-45a97698d828,apply anti-oppressive practices,"[['ESCO_S', 'ESCO_S3', 'ESCO_S3.3', 'ESCO_S3.3.0']]",preferredLabel,esco
ESCO_0007bdc2-dd15-4824-b7d6-416522c46f35,control compliance of railway vehicles regulations,"[['ESCO_S', 'ESCO_S3', 'ESCO_S3.3', 'ESCO_S3.3.3'], ['ESCO_S', 'ESCO_S2', 'ESCO_S2.8', 'ESCO_S2.8.1']]",preferredLabel,esco
ESCO_00090cc1-1f27-439e-a4e0-19a87a501bfc,identify available services,"[['ESCO_S', 'ESCO_S3', 'ESCO_S3.1', 'ESCO_S3.1.3']]",preferredLabel,esco
ESCO_000bb1e4-89f0-4b86-be05-05ece3641724,perform toxicological studies,"[['ESCO_S', 'ESCO_S2', 'ESCO_S2.8', 'ESCO_S2.8.6']]",preferredLabel,esco
ESCO_000c94d2-2a2e-4545-993c-6df8cb5b0316,ensure coquille uniformity,"[['ESCO_S', 'ESCO_S6', 'ESCO_S6.7', 'ESCO_S6.7.3']]",preferredLabel,esco
ESCO_000f1d3d-220f-4789-9c0a-cc742521fb02,Haskell,"[['ESCO_K', 'ESCO_K06', 'ESCO_K061', 'ESCO_K0613'], ['ESCO_S', 'ESCO_S5', 'ESCO_S5.6', 'ESCO_S5.6.1']]",preferredLabel,esco
ESCO_0023e7a5-43da-4b68-bee3-726ef21f986d,apply diplomatic principles,"[['ESCO_S', 'ESCO_S1', 'ESCO_S1.1', 'ESCO_S1.1.2']]",preferredLabel,esco
ESCO_00298d97-3dc3-4086-a902-bce0a2fba831,lead police investigations,"[['ESCO_S', 'ESCO_S4', 'ESCO_S4.5', 'ESCO_S4.5.0'], ['ESCO_T', 'ESCO_T4', 'ESCO_T4.4', None], ['ESCO_S', 'ESCO_S2', 'ESCO_S2.1', 'ESCO_S2.1.1']]",preferredLabel,esco
